LANDMARK NAME,ID,ADDRESS,DATE BUILT,ARCHITECT,LANDMARK DESIGNATION DATE,LATITUDE,LONGITUDE,LOCATION
Vassar Swiss Underwear Company Building,L-265,2543 - 2545 W Diversey Av,,,07/30/2008,41.9316266084,-87.6921000957,"(41.9316266084, -87.6921000957)"
Mathilde Eliel House,L- 89,4122 S Ellis Av,1886,Adler & Sullivan,10/02/1991,41.819255751,-87.6027879992,"(41.819255751, -87.6027879992)"
Manhattan Building,L-139,431 S Dearborn St,1891,William LeBaron Jenney,07/07/1978,41.8760657234,-87.6289644505,"(41.8760657234, -87.6289644505)"
Machinery Hall at Illinois Institute of Technology,L- 12,100 W 33rd St,1901,"Patton, Fisher & Miller",05/26/2004,41.8351614122,-87.6292212235,"(41.8351614122, -87.6292212235)"
Melissa Ann Elam House,L- 88,4726 S Dr Martin Luther King Jr Dr,1903,Henry L. Newhouse,03/21/1979,41.808529769,-87.6172043949,"(41.808529769, -87.6172043949)"
(Former) Pioneer Trust and Savings Bank Building,L-318,4000 W. North Ave.,1924,Karl M. Vitzthum,06/06/2012,41.9101921054,-87.7266173415,"(41.9101921054, -87.7266173415)"
DuPont-Whitehouse House,L- 85,3558 S Artesian Av,1876,Oscar Cobb & Co.,04/16/1996,41.8285816489,-87.6865936818,"(41.8285816489, -87.6865936818)"
Montgomery Ward & Co. Catalog House,L-149,618 W Chicago Av,1907-08,"Richard E. Schmidt, Garden and Martin",05/17/2000,41.8974368676,-87.6436954155,"(41.8974368676, -87.6436954155)"
Vorwaerts Turner Hall,L-286,2431 W. Roosevelt Rd,,,09/03/2009,41.8661518103,-87.6872469444,"(41.8661518103, -87.6872469444)"
City Hall-County Building,L- 71,121 N LaSalle St / 118 N Clark St,1905-08,Holabird and Roche,01/21/1982,41.8838425425,-87.6316552814,"(41.8838425425, -87.6316552814)"
Illinois and Michigan Canal,L-119,S Fork of Chicago River at W Levee & W Fuller Sts,1845-48,,05/09/1996,41.8426582338,-87.6646164616,"(41.8426582338, -87.6646164616)"
Lake Shore & Michigan Southern Bridges (pair),L-242,"Calumet River, N of 98th St & E of Chicago Skyway",,,12/12/2007,41.7196867122,-87.5429609441,"(41.7196867122, -87.5429609441)"
(Former) Schlitz Brewery Tied-House@11400S.Front,L-309,11400 S. Front Ave.,1906,Frommann and Jebsen,07/06/2011,41.6871246524,-87.6123887351,"(41.6871246524, -87.6123887351)"
Haskell-Barker-Atwater Buildings,L-109,18-28 S Wabash Av,1875-77,Wheelock & Thomas and John M. Van Osdel,11/13/1996,41.8813617549,-87.6266580795,"(41.8813617549, -87.6266580795)"
300 West Adams Street Office Building,L-279,300 W Adams St,,,,41.8797274269,-87.6356810697,"(41.8797274269, -87.6356810697)"
Three Arts Club,L-239,1300 N Dearborn St,1914,Holabird and Roche,06/10/1981,41.9060070155,-87.6304679039,"(41.9060070155, -87.6304679039)"
First Baptist Congregational Church,L- 93,60 N Ashland Av,1869-71,Gurdon P. Randall,01/21/1982,41.8829904011,-87.6672815294,"(41.8829904011, -87.6672815294)"
Congress Theater,L- 75,2117-39 N Milwaukee Av / 2117-39 N Rockwell St,1925-26,Fridstein & Co.,07/10/2002,41.9203165293,-87.692213144,"(41.9203165293, -87.692213144)"
Jane Addams' Hull House and Dining Hall,L- 43,800 S Halsted St,1856,"Unknown, Dining Hall 1905: Pond & Pond",06/12/1974,41.871508892,-87.6483575157,"(41.871508892, -87.6483575157)"
Palliser's Cottage Home No. 35,L- 41,2314 W 111th Pl,1882,"Palliser, Palliser & Co.",02/16/2000,41.6910919166,-87.6793988346,"(41.6910919166, -87.6793988346)"
Steuben Club Building,L-218,188 W Randolph St,1929,Karl M. Vitzhum & Co.,07/26/2006,41.884829161,-87.6336029549,"(41.884829161, -87.6336029549)"
Hotel St. Benedict Flats,L-115,40-52 E Chicago Av,1882-83,James J. Egan,03/26/1996,41.8969804073,-87.6264417713,"(41.8969804073, -87.6264417713)"
Cortland Street Drawbridge,L- 76,1440 W Cortland St,1902,John Ernst Ericson. Bridgehse reconst. 1982,07/24/1991,41.916917265,-87.6643115534,"(41.916917265, -87.6643115534)"
August Dewes House,L- 81,509 W Wrightwood Av,1894-96,Adolph Cudell & Arthur Hercz,03/09/2005,41.9302781538,-87.6417688895,"(41.9302781538, -87.6417688895)"
New York Life Building,L-217,37-43 S LaSalle St,1893-94,1898 add:Jenney & Mundie 1903 add:Arch Unknown,07/26/2006,41.8808865829,-87.6317475108,"(41.8808865829, -87.6317475108)"
"Tree Studios, Annexes and Courtyard",L-196,601-23 N State St/4-10 E Ohio St/3-7 E Ontario St,1894,"Parfitt Brothers, with Bauer & Hill",02/26/1997,41.8928785261,-87.6277371467,"(41.8928785261, -87.6277371467)"
